Date,Index
2015-03-13,606.0
2015-03-12,596.0
2015-03-11,589.0
2015-03-10,580.0
2015-03-09,573.0
2015-03-06,566.0
2015-03-05,560.0
2015-03-04,550.0
2015-03-03,541.0
2015-03-02,528.0
2015-02-27,515.0
2015-02-26,506.0
2015-02-25,496.0
2015-02-24,490.0
2015-02-23,492.0
2015-02-20,490.0
2015-02-19,483.0
2015-02-18,478.0
2015-02-17,480.0
2015-02-16,480.0
2015-02-13,486.0
2015-02-12,496.0
2015-02-11,508.0
2015-02-10,516.0
2015-02-09,523.0
2015-02-06,530.0
2015-02-05,538.0
2015-02-04,545.0
2015-02-03,556.0
2015-02-02,567.0
2015-01-30,585.0
2015-01-29,599.0
2015-01-28,618.0
2015-01-27,632.0
2015-01-26,642.0
2015-01-23,650.0
2015-01-22,659.0
2015-01-21,673.0
2015-01-20,684.0
2015-01-19,699.0
2015-01-16,716.0
2015-01-15,735.0
2015-01-14,752.0
2015-01-13,763.0
2015-01-12,788.0
2015-01-09,800.0
2015-01-08,820.0
2015-01-07,843.0
2015-01-06,861.0
2015-01-05,873.0
2015-01-02,884.0
2014-12-24,887.0
2014-12-23,897.0
2014-12-22,906.0
2014-12-19,917.0
2014-12-18,925.0
2014-12-17,932.0
2014-12-16,942.0
2014-12-15,947.0
2014-12-12,950.0
2014-12-11,953.0
2014-12-10,960.0
2014-12-09,966.0
2014-12-08,969.0
2014-12-05,971.0
2014-12-04,980.0
2014-12-03,984.0
2014-12-02,987.0
2014-12-01,989.0
2014-11-28,986.0
2014-11-27,984.0
2014-11-26,980.0
2014-11-25,970.0
2014-11-24,956.0
2014-11-21,942.0
2014-11-20,926.0
2014-11-19,904.0
2014-11-18,881.0
2014-11-17,875.0
2014-11-14,875.0
2014-11-13,873.0
2014-11-12,873.0
2014-11-11,876.0
2014-11-10,879.0
2014-11-07,881.0
2014-11-06,886.0
2014-11-05,888.0
2014-11-04,888.0
2014-11-03,889.0
2014-10-31,892.0
2014-10-30,891.0
2014-10-29,896.0
2014-10-28,898.0
2014-10-27,899.0
2014-10-24,900.0
2014-10-23,906.0
2014-10-22,907.0
2014-10-21,911.0
2014-10-20,916.0
2014-10-17,923.0
2014-10-16,933.0
2014-10-15,944.0
2014-10-14,952.0
2014-10-10,970.0
2014-10-09,980.0
2014-10-08,993.0
2014-10-07,1007.0
2014-10-06,1017.0
2014-10-03,1028.0
2014-10-02,1033.0
2014-10-01,1045.0
2014-09-30,1051.0
2014-09-29,1054.0
2014-09-26,1053.0
2014-09-25,1046.0
2014-09-24,1045.0
2014-09-23,1041.0
2014-09-22,1032.0
2014-09-19,1029.0
2014-09-18,1030.0
2014-09-17,1031.0
2014-09-16,1028.0
2014-09-15,1016.0
2014-09-12,1006.0
2014-09-11,1000.0
2014-09-10,1003.0
2014-09-09,1001.0
2014-09-08,995.0
2014-09-05,997.0
2014-09-04,993.0
2014-09-03,988.0
2014-09-02,983.0
2014-09-01,977.0
2014-08-29,970.0
2014-08-28,963.0
2014-08-27,952.0
2014-08-26,944.0
2014-08-22,937.0
2014-08-21,925.0
2014-08-20,912.0
2014-08-19,902.0
2014-08-18,889.0
2014-08-15,877.0
2014-08-14,861.0
